Case,Query,Account Accuracy,Balance Match,TVA Handling,Context Quality,Output Match,BLEU Score,Overall,Status
1,Facture Maroc Telecom: 300 MAD TTC. Internet Fibre...,0.6666666666666666,0.005897095680377414,1.0,0.5789473684210527,0.8646288209606987,0.6842105263157895,0.5899405268887606,✗
2,Achat d'un PC portable HP Victus pour 8500 MAD che...,0.3333333333333333,0.693990855649902,0.4,0.22522522522522523,0.5897435897435898,0.42105263157894735,0.46886773980881724,✗
3,Paiement loyer bureau: 4000 MAD par chèque. Query:...,1.0,0.1074517810132703,0.5,0.5298013245033113,0.9103448275862069,0.7272727272727273,0.602758438205216,△
4,Facture Facebook Ads: 100 USD pour publicité. Quer...,1.0,0.02994818963193675,1.0,0.4842105263157895,0.7011494252873564,0.29411764705882354,0.6257863961856077,△
5,Achat fournitures de bureau: 450 MAD en espèces. Q...,0.6666666666666666,0.013345591506272427,0.4,0.4713375796178344,0.7692307692307693,0.5333333333333333,0.43918810455630025,✗
6,Facture Honoraires Comptable: 2000 MAD HT. Query: ...,0.6666666666666666,0.06801178871004307,0.4,0.43373493975903615,0.8202247191011236,0.6428571428571429,0.4622196728281067,✗
7,Réception facture électricité Redal: 600 MAD TTC. ...,0.6666666666666666,0.017947414076755108,0.4,0.3954802259887006,0.7446808510638298,0.5,0.42740367044430005,✗
8,Frais de déplacement taxi: 50 MAD. Query: comment ...,0.5,0.0014959982048021543,0.5,0.5314685314685315,0.7943262411347518,0.6363636363636364,0.4294879706864483,✗
9,Vente de services à un client local: 10000 MAD HT....,0.6666666666666666,0.253533624897002,0.4,0.43523316062176165,0.6915887850467289,0.45,0.4798117067101027,✗
10,"Achat de marchandises: 5000 MAD HT, remise 5%. Que...",1.0,0.19974068752847182,1.0,0.26229508196721313,0.8,0.5294117647058824,0.6726352683141333,△
11,Prime d'assurance AXA: 3000 MAD. Query: journal....,1.0,0.3473227206946454,1.0,0.52,0.8627450980392157,0.6153846153846154,0.7490116756487745,△
12,Virement bancaire pour payer la patente (Taxe Prof...,0.5,0.17515691139979564,0.5,0.39705882352941174,0.8027210884353742,0.7,0.4639032734681962,✗
13,Achat de carburant (Gazole) pour voiture de sociét...,1.0,0.007852067056652664,1.0,0.5868263473053892,0.6597938144329897,0.5,0.6346147236596505,△
14,Cadeaux clients (Agendas): 800 MAD TTC. Query: com...,1.0,0.023464539215111165,0.5,0.6217616580310881,0.6739130434782609,0.4444444444444444,0.541351479350848,✗
15,Réparation machine atelier: 1500 MAD HT. Query: jo...,1.0,0.07392804337111877,1.0,0.45977011494252873,0.9223744292237442,0.6875,0.6871901867205943,△
